table,error,time
"PRD_MODAR_INCIDENT_SERVICE_MV","error:  Call completed. ","2024-11-22 15:23:30"
"PRD_MRS_INCIDENT_SERVICES_MV","error:  Call completed. ","2024-11-22 15:23:36"
"PRD_MS_INCIDENT_SERVICES_MV","error:  Call completed. ","2024-11-22 15:23:36"
"PRD_RAQIB_INCIDENT_SERVICE_MV","error:  Call completed. ","2024-11-22 15:23:37"
"PRD_VSAT_INCIDENT_SERVICE_MV","error:  Call completed. ","2024-11-22 15:23:37"
"PRD_STCS_GL_CLOUD_MV","error:  Call completed. ","2024-11-22 15:23:38"
"PRD_STCS_GL_CLOUD_MV1","error:  Call completed. ","2024-11-22 15:23:38"
"PRD_STCS_GL_EMM_MV","error:  Call completed. ","2024-11-22 15:23:39"
"PRD_STCS_GL_EMM_MV1","error:  Call completed. ","2024-11-22 15:23:39"
"PRD_STCS_GL_FLEET_MV","error:  Call completed. ","2024-11-22 15:23:40"
"PRD_STCS_GL_FLEET_MV1","error:  Call completed. ","2024-11-22 15:23:40"
"PRD_STCS_GL_INFOFI_MV","error:  Call completed. ","2024-11-22 15:23:41"
"PRD_STCS_GL_INFOFI_MV1","error:  Call completed. ","2024-11-22 15:23:41"
"PRD_STCS_GL_ISPAN_MV","error:  Call completed. ","2024-11-22 15:23:42"
"PRD_STCS_GL_ISPAN_MV1","error:  Call completed. ","2024-11-22 15:23:42"
"PRD_STCS_GL_MES_MV","error:  Call completed. ","2024-11-22 15:23:43"
"PRD_STCS_GL_MES_MV1","error:  Call completed. ","2024-11-22 15:23:43"
"PRD_STCS_GL_MLS_MV","error:  Call completed. ","2024-11-22 15:23:43"
"PRD_STCS_GL_MLS_MV1","error:  Call completed. ","2024-11-22 15:23:44"
"PRD_STCS_GL_MODAR_MV","error:  Call completed. ","2024-11-22 15:23:44"
"PRD_STCS_GL_MODAR_MV1","error:  Call completed. ","2024-11-22 15:23:45"
"PRD_STCS_GL_MRS_MV","error:  Call completed. ","2024-11-22 15:23:45"
"PRD_STCS_GL_MRS_MV1","error:  Call completed. ","2024-11-22 15:23:46"
"PRD_STCS_GL_MV","error:  Call completed. ","2024-11-22 15:23:46"
"PRD_STCS_GL_MV1","error:  Call completed. ","2024-11-22 15:23:47"
"PRD_STCS_VS_CORP_REV_DIA_VSAT","error:  Call completed. ","2024-11-22 15:23:47"
"PRD_STCS_GL_RAQIB_MV","error:  Call completed. ","2024-11-22 15:23:48"
"PRD_STCS_GL_RAQIB_MV1","error:  Call completed. ","2024-11-22 15:23:48"
"PRD_STCS_GL_SHABIK_MV","error:  Call completed. ","2024-11-22 15:23:49"
"PRD_STCS_GL_SHABIK_MV1","error:  Call completed. ","2024-11-22 15:23:49"
"PRD_STCSREV_VS_EMAIL_CLOUD","error:  Call completed. ","2024-11-22 15:24:01"
"PRD_STCSREV_VS_EMAIL_EMM","error:  Call completed. ","2024-11-22 15:24:12"
"PRD_STCSREV_VS_EMAIL_FLEET","error:  Call completed. ","2024-11-22 15:24:23"
"PRD_STCSREV_VS_EMAIL_INFOFI","error:  Call completed. ","2024-11-22 15:24:35"
"PRD_STCSREV_VS_EMAIL_ISPAN","error:  Call completed. ","2024-11-22 15:24:46"
"PRD_STCSREV_VS_EMAIL_MES","error:  Call completed. ","2024-11-22 15:24:57"
"PRD_STCSREV_VS_EMAIL_MLS","error:  Call completed. ","2024-11-22 15:25:09"
"PRD_STCSREV_VS_EMAIL_MODAR","error:  Call completed. ","2024-11-22 15:25:20"
"PRD_STCSREV_VS_EMAIL_MRS","error:  Call completed. ","2024-11-22 15:25:32"
"PRD_STCSREV_VS_EMAIL_RAQIB","error:  Call completed. ","2024-11-22 15:25:43"
"PRD_STCSREV_VS_EMAIL_SHABIK","error:  Call completed. ","2024-11-22 15:25:54"
"PRD_GRAN_CUSTOMERTREND_MES_MV","error:  Call completed. ","2024-11-22 15:25:56"
"PRD_GRAN_CUSTOMERTREND_WIFI_MV","error:  Call completed. ","2024-11-22 15:25:57"
"PRD_MLS_SERVICE_CASES_MV ","error:  Call completed. ","2024-11-22 15:25:58"
"PRD_PROJECT_SERVICE_CASES_MV ","error:  Call completed. ","2024-11-22 15:25:59"
"PRD_RBM_GL_VS_EMAILS_REF","error:  Call completed. ","2024-11-22 15:26:16"
"PRD_RBM_GL_VS_STCS_GL","error:  Call completed. ","2024-11-22 15:26:38"
"PRD_REV_GL_VALIDATION","error:  Call completed. ","2024-11-22 15:27:07"
"PRD_REV_GL_VALIDATION_CLOUD","error:  Call completed. ","2024-11-22 15:27:07"
"PRD_REVENUE_GLVSINVOICES","error:  Call completed. ","2024-11-22 15:27:08"
"PRD_REVN_GL_VS_RBM_GL","error:  Call completed. ","2024-11-22 15:27:08"
"PRD_REVN_GL_VS_RBM_GL_1","error:  Call completed. ","2024-11-22 15:27:08"
"PRD_GRA_CUSTOMERTREND_MLS_MV","error:  Call completed. ","2024-11-22 15:27:10"
"PRD_CUSTOMER_TREND_RAQIB_MV","error:  Call completed. ","2024-11-22 15:27:11"
"PRD_GRAN_CUSTOMERTREND_MES_MV","error:  Call completed. ","2024-11-22 15:27:12"
"PRD_GRAN_CUSTOMERTREND_WIFI_MV","error:  Call completed. ","2024-11-22 15:27:14"
"PRD_AGW_VS_PROVISIONING_MODAR","error:  Call completed. ","2024-11-22 15:27:49"
"PRD_AGW_VS_PROVISIONING_SHABIK","error:  Call completed. ","2024-11-22 15:27:53"
"PRD_DYNAMICS_RAQIB_CAN_RECON","error:  Call completed. ","2024-11-22 15:27:53"
"PRD_CHARGE_APPLIED_RECON_DIA","error:  Call completed. ","2024-11-22 15:27:58"
"PRD_CHARGE_APPLIED_RECON_VSAT","error:  Call completed. ","2024-11-22 15:28:02"
"PRD_PROJECTS_COST_MERGED_MV","error:  Call completed. ","2024-11-22 15:28:55"
"PRD_STCS_GL_VS_PM_FLEET_MV","error:  Call completed. ","2024-11-22 15:29:12"
"PRD_STCS_GL_MON_TREND_FLEET_MV","error:  Call completed. ","2024-11-22 15:29:22"
"PRD_DYNAMICS_GRANITEMRS_RECON","error:  Call completed. ","2024-11-22 15:37:07"
"PRD_COLLECTION_VS_BILLING","error: 	CALL DBMS_MVIEW.REFRESH('PRD_COLLECTION_VS_BILLING','C')              * ERROR at line 1: ORA-12008: error in materialized view or zonemap refresh path ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3012 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 2424 ORA-01843: not a valid month ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 88 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 253 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 2405 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 2968 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3255 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3287 ORA-06512: at ""SYS.DBMS_SNAPSHOT"", line 16 ORA-06512: at line 1 ","2024-11-22 15:37:07"
"PRD_CUSTOMER_TREND_FLEET_MV","error:  Call completed. ","2024-11-22 15:37:08"
"PRD_MTREND_CUST_CLOUD_PRODUCTS","error:  Call completed. ","2024-11-22 15:37:08"
